item_id,site_id,domain_id,picture_id,correct_background?
MLA1125860623,MLA,MLA-T_SHIRTS,943614-MLA49265484433_032022,?
MLA1138348813,MLA,MLA-SHIRTS,991043-MLA49697398116_042022,0
MLM1386179404,MLM,MLM-SNEAKERS,856571-MLM49257372551_032022,1
MLA1130308494,MLA,MLA-JACKETS_AND_COATS,729646-MLA49543657992_042022,0
MLM1449476696,MLM,MLM-SWEATSHIRTS_AND_HOODIES,671246-CBT50524685240_062022,1
MLB2695631106,MLB,MLB-SNEAKERS,626284-MLB50486445749_062022,?
MLA1126916247,MLA,MLA-T_SHIRTS,641684-MLA49319523777_032022,?
MLB2694226556,MLB,MLB-PANTS,967287-CBT50474636640_062022,1
MLB2607332522,MLB,MLB-SWEATSHIRTS_AND_HOODIES,651720-MLB49601870356_042022,1
MLA1137271884,MLA,MLA-SWIMWEAR,888182-MLA49953075953_052022,1
MLM1401299850,MLM,MLM-SHIRTS,971452-MLM49580933312_042022,1
MLM1454272374,MLM,MLM-JACKETS_AND_COATS,695056-CBT50429188628_062022,1
MLB2165130604,MLB,MLB-BOOTS_AND_BOOTIES,906750-MLB50499433068_062022,1
MLB2661908022,MLB,MLB-BOOTS_AND_BOOTIES,744655-MLB50148318282_052022,?
MLB2701992366,MLB,MLB-SNEAKERS,681513-CBT47200048593_082021,?
MLB2175651523,MLB,MLB-SWEATSHIRTS_AND_HOODIES,914792-MLB31123662685_062019,1
MLM1441394595,MLM,MLM-BLOUSES,743970-CBT50341137648_062022,1
MLB2129285451,MLB,MLB-LOAFERS_AND_OXFORDS,911251-MLB48727070269_012022,0
MLA1131342273,MLA,MLA-SNEAKERS,982723-MLA49610147012_042022,1
MLA1141045215,MLA,MLA-SNEAKERS,767549-MLA50210594223_062022,0
MLM1442825990,MLM,MLM-JACKETS_AND_COATS,665445-CBT50396549308_062022,1
MLM1426084538,MLM,MLM-PANTS,970026-MLM50032946263_052022,1
MLM1385284505,MLM,MLM-HEELS_AND_WEDGES,812079-MLM49233943338_022022,1
MLA1118795577,MLA,MLA-FOOTBALL_SWEATSHIRTS_AND_HOODIES,685110-MLA48780876140_012022,0
MLM1397393598,MLM,MLM-HEELS_AND_WEDGES,990643-MLM49477269475_032022,0
MLM1442842596,MLM,MLM-BLOUSES,910200-CBT50370844164_062022,1
MLB2696188999,MLB,MLB-SNEAKERS,753502-MLB50494165057_062022,0
MLM1394918014,MLM,MLM-T_SHIRTS,722842-MLM49424931271_032022,1
MLM1425074019,MLM,MLM-LOAFERS_AND_OXFORDS,823581-MLM50014623850_052022,1
MLA1126218856,MLA,MLA-PANTS,949404-MLA47566815309_092021,0
MLM1455409106,MLM,MLM-JACKETS_AND_COATS,663470-CBT50637652840_072022,0
MLB2661228146,MLB,MLB-PANTS,904601-MLB50140503842_052022,1
MLA1132335069,MLA,MLA-SNEAKERS,646592-MLA49676104724_042022,0
MLM1397620928,MLM,MLM-LOAFERS_AND_OXFORDS,904958-MLM49483994601_032022,1
MLB2631916856,MLB,MLB-AUTOMOTIVE_SKIRTS,791442-MLB49853670619_052022,0
MLB2696512654,MLB,MLB-HEELS_AND_WEDGES,822125-MLB50496988496_062022,1
MLB2601622028,MLB,MLB-LEGGINGS,808794-MLB49543113604_042022,1
MLA1133211139,MLA,MLA-SPORT_T_SHIRTS,756794-MLA43113499988_082020,0
MLB2681524307,MLB,MLB-BOOTS_AND_BOOTIES,671494-MLB50336761882_062022,1
MLM1442061984,MLM,MLM-JACKETS_AND_COATS,661722-MLM50453340363_062022,0
MLA1124870006,MLA,MLA-SHORTS,678885-MLA50288907293_062022,1
MLA1145366977,MLA,MLA-JACKETS_AND_COATS,911097-MLA30776446318_052019,0
MLB2221338114,MLB,MLB-BOOTS_AND_BOOTIES,744637-MLB43638411337_092020,?
MLB2198446205,MLB,MLB-PANTS,807341-MLB50257949036_062022,1
MLA1146071186,MLA,MLA-SWEATERS_AND_CARDIGANS,861680-MLA50628913490_072022,0
MLB2666170878,MLB,MLB-SNEAKERS,803135-CBT50186382968_062022,0
MLA1136453600,MLA,MLA-PANTS,780786-MLA49902139577_052022,0
MLM1453435473,MLM,MLM-T_SHIRTS,816972-MLM50602516568_072022,1
MLA1137402141,MLA,MLA-T_SHIRTS,885439-MLA47719149530_092021,0
MLB2657605090,MLB,MLB-T_SHIRTS,841853-MLB50101949172_052022,1
MLA1144231896,MLA,MLA-JACKETS_AND_COATS,950001-MLA49764188891_042022,0
MLA1124446039,MLA,MLA-JACKETS_AND_COATS,654986-MLA49172008509_022022,1
MLB2174260722,MLB,MLB-BLOUSES,706269-CBT49082169652_022022,1
MLM1444219297,MLM,MLM-SNEAKERS,895968-MLM50411776898_062022,1
MLM1381759414,MLM,MLM-LOAFERS_AND_OXFORDS,999850-MLA49166329427_022022,1
MLB2687880185,MLB,MLB-SWEATERS_AND_CARDIGANS,740995-MLB50407209735_062022,0
MLB2178625469,MLB,MLB-T_SHIRTS,888080-MLB49118432053_022022,1
MLA1127179363,MLA,MLA-T_SHIRTS,631849-MLA49330707066_032022,?
MLB2629369542,MLB,MLB-T_SHIRTS,911252-MLB49827565074_052022,1
MLB2199936401,MLB,MLB-T_SHIRTS,967732-MLB43836142138_102020,1
MLB2610356765,MLB,MLB-BOOTS_AND_BOOTIES,694207-MLB49636605326_042022,1
MLM1411621713,MLM,MLM-SNEAKERS,773192-MLM49765988733_042022,0
MLM1449383228,MLM,MLM-SNEAKERS,905383-MLM50521121576_062022,0
MLB2662294282,MLB,MLB-PANTS,729638-MLB49491346690_032022,1
MLB2197565550,MLB,MLB-SNEAKERS,971778-MLB49293637201_032022,1
MLB2608611965,MLB,MLB-SWIMWEAR,657589-MLB49615308900_042022,1
MLB2191157050,MLB,MLB-T_SHIRTS,988748-MLB49231026619_022022,0
MLM1450568821,MLM,MLM-SNEAKERS,993302-MLM50540804839_072022,1
MLB2613212580,MLB,MLB-T_SHIRTS,841420-MLB49664904122_042022,1
MLM1442332538,MLM,MLM-SNEAKERS,956950-MLM50361229547_062022,0
MLB2685041688,MLB,MLB-T_SHIRTS,788872-MLB50375271652_062022,1
MLM1433363408,MLM,MLM-PANTS,696753-MLM50202912314_062022,0
MLB2221888897,MLB,MLB-SNEAKERS,732526-MLB49514596866_032022,0
MLM1371801523,MLM,MLM-LOAFERS_AND_OXFORDS,989021-MLM48974898688_012022,1
MLA1139466470,MLA,MLA-JACKETS_AND_COATS,910640-MLA49561432317_042022,0
MLB2693161219,MLB,MLB-BOOTS_AND_BOOTIES,915218-MLB50461677939_062022,?
MLM1443898777,MLM,MLM-T_SHIRTS,960761-MLM50409173384_062022,1
MLB2687761955,MLB,MLB-T_SHIRTS,680841-MLB50405922992_062022,1
MLM1420906988,MLM,MLM-SHIRTS,686272-MLM49938324039_052022,0
MLB2139889260,MLB,MLB-T_SHIRTS,684293-MLB47457339332_092021,1
MLA1140779044,MLA,MLA-FOOTBALL_SWEATSHIRTS_AND_HOODIES,688786-MLA50436437717_062022,0
MLB2201574130,MLB,MLB-T_SHIRTS,616025-MLB46381848731_062021,1
MLB2681768066,MLB,MLB-SWEATERS_AND_CARDIGANS,671574-CBT50341682968_062022,1
MLB2187786753,MLB,MLB-LEGGINGS,765359-MLB49702271423_042022,1
MLM1427983412,MLM,MLM-SNEAKERS,981555-MLM50087332822_052022,1
MLM1448047714,MLM,MLM-BLOUSES,601090-CBT50430275822_062022,1
MLM1425017894,MLM,MLM-UNDERPANTS,796820-MLM47373196386_092021,0
MLM1435052139,MLM,MLM-PANTS,683076-CBT50230570405_062022,1
MLM1398480963,MLM,MLM-BLOUSES,899889-MLM49510205463_032022,0
MLB2624483032,MLB,MLB-BLOUSES,912452-CBT49782152172_042022,1
MLA1138694888,MLA,MLA-BOOTS_AND_BOOTIES,703468-MLA50056021098_052022,0
MLB2685087864,MLB,MLB-T_SHIRTS,904074-MLB50374972349_062022,1
MLB2638350031,MLB,MLB-PANTS,758037-MLB49915159687_052022,1
MLA1140673718,MLA,MLA-JACKETS_AND_COATS,753819-MLA50183884152_062022,0
MLM1455541063,MLM,MLM-SNEAKERS,852452-MLM50388669835_062022,1
MLA1140317770,MLA,MLA-T_SHIRTS,821272-MLA50165033495_062022,?
MLB2610170705,MLB,MLB-SWEATSHIRTS_AND_HOODIES,840862-MLB49634767584_042022,1
MLA1142704541,MLA,MLA-JACKETS_AND_COATS,940545-MLA50318856477_062022,0
MLA1118418454,MLA,MLA-PANTS,696241-MLA48751034158_012022,0
MLM1414264585,MLM,MLM-SWEATSHIRTS_AND_HOODIES,635736-CBT49822166315_052022,1
MLA1133721642,MLA,MLA-SNEAKERS,904596-MLA49754687420_042022,0
MLB2694046991,MLB,MLB-T_SHIRTS,776829-MLB50473132134_062022,1
MLA1138024763,MLA,MLA-PANTS,929790-MLA50007629276_052022,1
MLB2629332864,MLB,MLB-T_SHIRTS,838456-MLB49827562064_052022,1
MLB2683482782,MLB,MLB-SNEAKERS,723636-MLB50355677431_062022,1
MLM1416711252,MLM,MLM-SWIMWEAR,885948-CBT49857527596_052022,1
MLM1447467167,MLM,MLM-SWEATERS_AND_CARDIGANS,984804-CBT50430864945_062022,1
MLB2660414733,MLB,MLB-PANTS,807996-CBT50142347724_052022,1
MLM1429339205,MLM,MLM-T_SHIRTS,820237-MLM50118798073_052022,1
MLB2688789851,MLB,MLB-T_SHIRTS,966493-MLB48266079873_112021,1
MLM1407257137,MLM,MLM-PANTS,948483-CBT49691742799_042022,1
MLM1440078223,MLM,MLM-SNEAKERS,708413-MLM50317610665_062022,0
MLM1410888506,MLM,MLM-BOOTS_AND_BOOTIES,617458-MLM49749655666_042022,0
MLA1140602048,MLA,MLA-JACKETS_AND_COATS,807911-MLA50178255021_062022,0
MLA1139446848,MLA,MLA-PANTS,944591-MLA50126897963_052022,0
MLB2701614545,MLB,MLB-SHIRTS,777608-MLB50543601828_072022,1
MLA1142929791,MLA,MLA-SNEAKERS,664605-MLA50333701867_062022,?
MLM1447393700,MLM,MLM-SWEATSHIRTS_AND_HOODIES,767370-CBT50478398240_062022,1
MLA1142713464,MLA,MLA-SNEAKERS,715734-MLA50323628032_062022,0
MLM1444233319,MLM,MLM-T_SHIRTS,733370-MLM50412548835_062022,1
MLM1443292054,MLM,MLM-PANTS,620622-CBT50339038804_062022,1
MLB2629756098,MLB,MLB-BLOUSES,932881-MLB49938421891_052022,1
MLB2704378618,MLB,MLB-SNEAKERS,807766-MLB50582114682_072022,0
MLB2178626349,MLB,MLB-T_SHIRTS,948240-MLB49118467793_022022,1
MLB2152418767,MLB,MLB-SNEAKERS,635100-MLB48915068667_012022,1
MLA1118375025,MLA,MLA-SNEAKERS,886363-MLA48745555528_012022,0
MLM1387205989,MLM,MLM-SPORT_T_SHIRTS,674343-MLM49278096593_032022,1
MLM1443087587,MLM,MLM-SNEAKERS,797544-MLM50684108988_072022,1
MLM1396992543,MLM,MLM-LOAFERS_AND_OXFORDS,915789-MLM49463882217_032022,1
MLM1433543194,MLM,MLM-JACKETS_AND_COATS,853433-CBT50206225524_062022,1
MLA1144440958,MLA,MLA-SWEATSHIRTS_AND_HOODIES,662274-MLA50692666214_072022,0
MLA1145335215,MLA,MLA-JACKETS_AND_COATS,619497-MLA50575877558_072022,0
MLA1141074847,MLA,MLA-JACKETS_AND_COATS,846976-MLA50213299692_062022,0
MLB2707674006,MLB,MLB-T_SHIRTS,985640-MLB50611535336_072022,1
MLA1130291523,MLA,MLA-SHIRTS,870509-MLA49545571349_042022,0
MLA1139846604,MLA,MLA-SNEAKERS,622346-MLA50150861831_052022,0
MLM1400920865,MLM,MLM-LOAFERS_AND_OXFORDS,751026-MLM49571966807_042022,0
MLA1135552183,MLA,MLA-JACKETS_AND_COATS,982075-MLA49854264939_052022,1
MLM1383199128,MLM,MLM-BLOUSES,666715-MLM49196306439_022022,1
MLM1368771871,MLM,MLM-T_SHIRTS,818746-MLM48910596813_012022,1
MLA1145648113,MLA,MLA-SNEAKERS,712572-MLA50604550765_072022,0
MLA1139283935,MLA,MLA-JACKETS_AND_COATS,919424-MLA50113628654_052022,?
MLB2700807394,MLB,MLB-PANTS,993239-MLB50538715707_072022,1
MLM1446782370,MLM,MLM-JACKETS_AND_COATS,721127-CBT50469660074_062022,0
MLM1434997821,MLM,MLM-BLOUSES,953312-CBT50229714324_062022,1
MLB2655827818,MLB,MLB-JACKETS_AND_COATS,639182-MLB48272766093_112021,0
MLM1453934323,MLM,MLM-PET_JACKETS_AND_COATS,951728-MLM50612913571_072022,1
MLB2706914234,MLB,MLB-SWEATERS_AND_CARDIGANS,766089-CBT50592040401_072022,1
MLA1131488240,MLA,MLA-BLOUSES,939502-MLA49626727684_042022,0
MLA1130555018,MLA,MLA-SNEAKERS,874719-MLA49562638054_042022,?
MLM1376594248,MLM,MLM-SNEAKERS,748475-MLM49071632918_022022,1
MLM1405036859,MLM,MLM-SWEATSHIRTS_AND_HOODIES,858553-MLM49649641467_042022,1
MLA1142726299,MLA,MLA-SNEAKERS,954098-MLA48840022549_012022,0
MLM1455855096,MLM,MLM-T_SHIRTS,674896-CBT50660726290_072022,1
MLA1143184201,MLA,MLA-JACKETS_AND_COATS,671243-MLA50356871038_062022,1
MLA1140297291,MLA,MLA-T_SHIRTS,910487-MLA44617894448_012021,1
MLB2623561722,MLB,MLB-SNEAKERS,814242-MLB50513346560_062022,1
MLA1146221270,MLA,MLA-JACKETS_AND_COATS,683587-MLA50658809868_072022,1
MLB2167271593,MLB,MLB-T_SHIRTS,954769-MLB49031949534_022022,1
MLM1433555195,MLM,MLM-SNEAKERS,621083-MLM50204240107_062022,?
MLM1409128689,MLM,MLM-BLOUSES,787184-CBT49724460241_042022,1
MLA1141584878,MLA,MLA-JACKETS_AND_COATS,902845-MLA50240309000_062022,0
MLM1393193576,MLM,MLM-LOAFERS_AND_OXFORDS,630049-MLM49390415436_032022,?
MLA1138935109,MLA,MLA-T_SHIRTS,896867-MLA50079566133_052022,0
MLB2680905402,MLB,MLB-T_SHIRTS,779595-MLB50330274911_062022,1
MLA1119249890,MLA,MLA-SWEATERS_AND_CARDIGANS,933547-MLA48813244335_012022,1
MLM1455695703,MLM,MLM-PANTS,728267-MLM50656669684_072022,0
MLB2627179791,MLB,MLB-AUTOMOTIVE_SKIRTS,939865-MLB47978379529_102021,0
MLB2707640210,MLB,MLB-JACKETS_AND_COATS,604688-CBT50610691824_072022,0
MLB2631043374,MLB,MLB-SNEAKERS,695115-MLB49844479195_052022,0
MLM1453562046,MLM,MLM-JACKETS_AND_COATS,764739-CBT50604420303_072022,1
MLA1144984123,MLA,MLA-JACKETS_AND_COATS,925818-MLA50528185191_062022,0
MLA1123648451,MLA,MLA-T_SHIRTS,875986-MLA49119572457_022022,1
MLB2625434605,MLB,MLB-FOOTBALL_SHOES,805654-MLB49787566972_042022,0
MLB2707755006,MLB,MLB-PANTS,845065-MLB50612139166_072022,1
MLA1125899432,MLA,MLA-T_SHIRTS,741278-MLA49267442133_032022,?
MLA1139456131,MLA,MLA-SNEAKERS,900709-MLA50127987170_052022,0
MLB2626841296,MLB,MLB-BLOUSES,643432-CBT49801872142_042022,1
MLB2650039852,MLB,MLB-T_SHIRTS,669434-MLB50042057846_052022,1
MLA1144368766,MLA,MLA-SNEAKERS,781702-MLA50478409321_062022,0
MLA1126600971,MLA,MLA-SPORT_T_SHIRTS,913219-MLA49302175401_032022,1
MLB2651708392,MLB,MLB-SWIMWEAR,811108-CBT49993454839_052022,1
MLM1398002408,MLM,MLM-SNEAKERS,673371-MLM49494316175_032022,1
MLB2694074615,MLB,MLB-SHIRTS,716343-MLB50473497979_062022,0
MLB2679943222,MLB,MLB-FOOTBALL_SHOES,693448-MLB50316987631_062022,?
MLM1429279865,MLM,MLM-SWEATSHIRTS_AND_HOODIES,654766-CBT50125821358_052022,1
MLM1450069128,MLM,MLM-SHIRTS,681700-MLM50532343981_062022,1
MLB2686829643,MLB,MLB-JACKETS_AND_COATS,879531-CBT50355612727_062022,1
MLB2680071489,MLB,MLB-T_SHIRTS,975886-MLB50318125757_062022,1
MLB2139519218,MLB,MLB-T_SHIRTS,636849-MLB45868773497_052021,1
MLA1134974375,MLA,MLA-HEELS_AND_WEDGES,808343-MLA49819080898_042022,0
MLB2706976296,MLB,MLB-JACKETS_AND_COATS,758497-CBT50604727931_072022,0
MLB2643495665,MLB,MLB-SNEAKERS,987460-MLB49964331496_052022,0
MLM1452897038,MLM,MLM-SNEAKERS,999968-MLM50596201712_072022,0
MLA1137504362,MLA,MLA-T_SHIRTS,931052-MLA49350081804_032022,0
MLM1393197224,MLM,MLM-SNEAKERS,641485-MLM49390338147_032022,?
MLB2709705424,MLB,MLB-SNEAKERS,790117-MLB50629557329_072022,0
MLA1145553368,MLA,MLA-PANTS,706698-MLA50598448797_072022,0
MLA1145625299,MLA,MLA-JACKETS_AND_COATS,876566-MLA50607201990_072022,0
MLB2682044014,MLB,MLB-T_SHIRTS,950426-MLC43968422543_112020,1
MLA1134967041,MLA,MLA-T_SHIRTS,677757-MLA49817947374_042022,0
MLB2215256945,MLB,MLB-JACKETS_AND_COATS,936828-MLB49446414588_032022,1
MLA1142535294,MLA,MLA-SNEAKERS,761281-MLA50306772967_062022,0
MLB2166785884,MLB,MLB-T_SHIRTS,836641-MLB49025358561_022022,1
MLB2683915842,MLB,MLB-PANTS,999627-MLB50361344741_062022,1
MLM1418806559,MLM,MLM-JACKETS_AND_COATS,678423-CBT49896236003_052022,0
MLA1138653166,MLA,MLA-JACKETS_AND_COATS,938093-MLA50047819087_052022,0
MLA1118028906,MLA,MLA-T_SHIRTS,926164-MLA48727530297_012022,?
MLB2601784181,MLB,MLB-BLOUSES,998879-MLB49545128622_042022,0
MLA1144101645,MLA,MLA-BOOTS_AND_BOOTIES,759529-MLA50447073956_062022,0
MLM1392553133,MLM,MLM-LEGGINGS,729723-MLM49376719991_032022,1
MLM1450300352,MLM,MLM-T_SHIRTS,643572-CBT50477895145_062022,1
MLA1139449462,MLA,MLA-JACKETS_AND_COATS,615231-MLA50127864680_052022,0
MLA1127986898,MLA,MLA-SNEAKERS,710125-MLA49384601375_032022,1
MLM1423056162,MLM,MLM-JACKETS_AND_COATS,772771-MLM49982832600_052022,0
MLB2206023504,MLB,MLB-AUTOMOTIVE_SKIRTS,726835-MLB49366560869_032022,0
MLB2694168260,MLB,MLB-HEELS_AND_WEDGES,906142-CBT50475572790_062022,0
MLM1429504602,MLM,MLM-LOAFERS_AND_OXFORDS,765011-MLM50122818782_052022,1
MLB2689604507,MLB,MLB-AUTOMOTIVE_SKIRTS,836687-MLB50423291133_062022,0
MLB2223083641,MLB,MLB-BOOTS_AND_BOOTIES,980598-MLB49526852242_032022,0
MLB2704988361,MLB,MLB-T_SHIRTS,929790-MLB49512870255_032022,1
MLA1145126532,MLA,MLA-JACKETS_AND_COATS,754514-MLA50290387314_062022,0
MLM1394039769,MLM,MLM-LOAFERS_AND_OXFORDS,647764-MLM49409159081_032022,1
MLA1143134345,MLA,MLA-T_SHIRTS,691312-MLA50351018420_062022,?
MLA1127322399,MLA,MLA-T_SHIRTS,919361-MLA49983706881_052022,1
MLA1143328597,MLA,MLA-LOAFERS_AND_OXFORDS,709271-MLA50381583794_062022,0
MLB2603783477,MLB,MLB-SWEATSHIRTS_AND_HOODIES,689385-MLB49569905858_042022,1
MLA1141959144,MLA,MLA-JACKETS_AND_COATS,925378-MLA46571901436_062021,0
MLM1453486132,MLM,MLM-JACKETS_AND_COATS,649777-CBT50580575434_072022,1
MLA1136537385,MLA,MLA-PANTS,833906-MLA49339049643_032022,0
MLB2625334523,MLB,MLB-SHIRTS,952396-MLB49786609556_042022,1
MLA1142154222,MLA,MLA-LEGGINGS,837078-MLA50282198307_062022,0
MLB2712475853,MLB,MLB-JACKETS_AND_COATS,653689-MLB50662560841_072022,1
MLB2710337822,MLB,MLB-SHORTS,812669-MLB50619861769_072022,1
MLM1369138643,MLM,MLM-T_SHIRTS,879148-MLM48920751636_012022,0
MLA1118184231,MLA,MLA-SHIRTS,942107-MLA48736820746_012022,1
MLM1409060408,MLM,MLM-LOAFERS_AND_OXFORDS,625639-MLM49721494675_042022,?
MLB2632084835,MLB,MLB-T_SHIRTS,930245-MLB49854988323_052022,1
MLB2138472442,MLB,MLB-AUTOMOTIVE_SKIRTS,751046-MLB48802098234_012022,1
MLM1400850964,MLM,MLM-T_SHIRTS,911725-MLM49571325063_042022,1
MLB2703513539,MLB,MLB-PANTS,602693-MLB50505119806_062022,0
MLB2134246668,MLB,MLB-BLOUSES,689665-MLB48765223564_012022,?
MLM1442863169,MLM,MLM-JACKETS_AND_COATS,793139-CBT50300555666_062022,1
MLB2130725112,MLB,MLB-T_SHIRTS,667164-MLB48737226384_012022,1
MLM1391194239,MLM,MLM-SWEATERS_AND_CARDIGANS,694668-MLM49350919352_032022,?
MLB2696001435,MLB,MLB-JACKETS_AND_COATS,949933-CBT50491910640_062022,1
MLM1449015155,MLM,MLM-JACKETS_AND_COATS,801725-MLM50513379593_062022,0
MLB2687806497,MLB,MLB-BOOTS_AND_BOOTIES,998957-MLB50440841367_062022,1
MLB2703783508,MLB,MLB-LOAFERS_AND_OXFORDS,613781-MLB50295146545_062022,0
MLA1136305540,MLA,MLA-T_SHIRTS,792540-MLA49889647615_052022,0
MLA1124615105,MLA,MLA-T_SHIRTS,891238-MLA49183161987_022022,1
MLM1451494371,MLM,MLM-HEELS_AND_WEDGES,619961-MLM50555756291_072022,0
MLM1419306325,MLM,MLM-JACKETS_AND_COATS,950393-CBT49894789247_052022,1
MLB2661019597,MLB,MLB-T_SHIRTS,940483-MLB50138611279_052022,1
MLA1125041817,MLA,MLA-T_SHIRTS,878663-MLA49208486815_022022,?
MLM1392190991,MLM,MLM-LOAFERS_AND_OXFORDS,803481-MLM49369264395_032022,?
MLA1132762352,MLA,MLA-SHORTS,847440-MLA49154383708_022022,0
MLA1143223886,MLA,MLA-SPORT_T_SHIRTS,828713-MLA50360494332_062022,1
MLB2621343382,MLB,MLB-HEELS_AND_WEDGES,704337-MLB49747768123_042022,?
MLA1139483670,MLA,MLA-JACKETS_AND_COATS,815737-MLA50128543567_052022,0
MLM1455829426,MLM,MLM-JACKETS_AND_COATS,626253-CBT50660665814_072022,1
MLB2670394134,MLB,MLB-T_SHIRTS,977845-MLB50222991278_062022,1
MLM1373367427,MLM,MLM-SNEAKERS,854762-MLM49007562900_022022,0
MLA1146350142,MLA,MLA-SPORT_T_SHIRTS,641882-MLA50672471198_072022,0
MLA1139336132,MLA,MLA-T_SHIRTS,798842-MLA50118342663_052022,1
MLM1371954600,MLM,MLM-T_SHIRTS,985328-MLM48976818924_012022,1
MLM1442980065,MLM,MLM-JACKETS_AND_COATS,624175-CBT50396557287_062022,1
MLA1144579970,MLA,MLA-SWEATERS_AND_CARDIGANS,683555-MLA50495126848_062022,0
MLM1448495944,MLM,MLM-SNEAKERS,944486-MLM50500441004_062022,?
MLB2666392386,MLB,MLB-BOOTS_AND_BOOTIES,894745-MLB50252584430_062022,1
MLM1387013637,MLM,MLM-SNEAKERS,603716-MLM49276569623_032022,0
MLM1419262233,MLM,MLM-BLOUSES,603141-CBT49907267140_052022,1
MLB2668638444,MLB,MLB-SNEAKERS,625290-MLB50210170177_062022,?
MLA1126701267,MLA,MLA-PANTS,992774-MLA49311744539_032022,0
MLB2161407165,MLB,MLB-T_SHIRTS,615913-MLB48955345503_012022,1
MLM1366445356,MLM,MLM-UNDERPANTS,848971-MLM48845419631_012022,1
MLB2648205326,MLB,MLB-T_SHIRTS,742175-MLB50008249275_052022,1
MLA1139062932,MLA,MLA-JACKETS_AND_COATS,935771-MLA50098917763_052022,0
MLB2640224175,MLB,MLB-SNEAKERS,838631-MLB49934516842_052022,?
MLB2188037474,MLB,MLB-T_SHIRTS,926507-MLB49202409716_022022,1
MLB2663558683,MLB,MLB-JACKETS_AND_COATS,819045-MLB50164218230_062022,0
MLB2133124121,MLB,MLB-T_SHIRTS,932863-MLB48674328608_122021,1
MLA1142184767,MLA,MLA-LOAFERS_AND_OXFORDS,678299-MLA50283014747_062022,0
MLA1146335767,MLA,MLA-JACKETS_AND_COATS,789439-MLA50671263269_072022,0
MLM1438522306,MLM,MLM-SNEAKERS,904905-MLM50289877717_062022,0
MLB2159284930,MLB,MLB-SNEAKERS,822542-MLB48966488921_012022,0
MLA1145583335,MLA,MLA-SNEAKERS,797502-MLA50599252175_072022,0
MLM1387533552,MLM,MLM-SHIRTS,965324-MLM49285885300_032022,0
MLM1455937823,MLM,MLM-SNEAKERS,917525-MLM49823691555_052022,0
MLB2609437574,MLB,MLB-BLOUSES,606865-MLB49627202471_042022,1
